Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,SampleID,SampleID2,Order,DNA_ng_per_gsoilDM_serial,B_no_gc_per_g_soil,B_no_gc_per_g_soil_log10
B2,H12,S7,60,12,124,Bacteria,9737394,1947479,6.29,2,S7,B7,D60B7,D60B7,10415.21,20283394744,10.31
B2,H21,S7,60,12,124,Bacteria,3450108,690022,5.84,3,S7,B7,D60B7,D60B7,10415.21,7186721196,9.86
B2,I12,S8,60,12,353,Bacteria,18023611,3604722,6.56,1,S8,B8,D60B8,D60B8,8021.46,28915146113,10.46
B2,J12,S8,60,12,353,Bacteria,4471517,894303,5.95,2,S8,B8,D60B8,D60B8,8021.46,7173618913,9.86
B2,J21,S8,60,12,353,Bacteria,2380359,476072,5.68,3,S8,B8,D60B8,D60B8,8021.46,3818794193,9.58
B2,K12,S9,60,12,6023,Bacteria,2307822,461564,5.66,1,S9,B9,D60B9,D60B9,11079.68,5113979647,9.71
B2,L12,S9,60,12,6023,Bacteria,7513877,1502775,6.18,2,S9,B9,D60B9,D60B9,11079.68,16650260340,10.22
B2,L21,S9,60,12,6023,Bacteria,1714010,342802,5.54,3,S9,B9,D60B9,D60B9,11079.68,3798135147,9.58
A1,I05,S1,7,20,3865,Bacteria,4021505,804301,5.91,1,S1,A1,D7A1,D7A1,31327.19,25196487639,10.4
A1,I06,S1,7,20,3865,Bacteria,4478204,895641,5.95,2,S1,A1,D7A1,D7A1,31327.19,28057912878,10.45
A1,J05,S1,7,20,3865,Bacteria,3501605,700321,5.85,3,S1,A1,D7A1,D7A1,31327.19,21939086759,10.34
A1,J06,S1,7,20,3865,Bacteria,3541919,708384,5.85,4,S1,A1,D7A1,D7A1,31327.19,22191677866,10.35
A2,E05,S10,7,20,1881,Bacteria,7064565,1412913,6.15,1,S10,A10,D7A10,D7A10,17419.56,24612317160,10.39
A2,E18,S10,7,20,1881,Bacteria,5036957,1007391,6,2,S10,A10,D7A10,D7A10,17419.56,17548303962,10.24
A2,F05,S10,7,20,1881,Bacteria,2768490,553698,5.74,3,S10,A10,D7A10,D7A10,17419.56,9645173331,9.98
A2,G05,S11,7,20,2259,Bacteria,2014650,402930,5.61,1,S11,A11,D7A11,D7A11,14655.73,5905235198,9.77
A2,G18,S11,7,20,2259,Bacteria,6658242,1331648,6.12,2,S11,A11,D7A11,D7A11,14655.73,19516279853,10.29
A2,H05,S11,7,20,2259,Bacteria,2689027,537805,5.73,3,S11,A11,D7A11,D7A11,14655.73,7881927421,9.9
A2,I05,S12,7,20,2407,Bacteria,4353576,870715,5.94,1,S12,A12,D7A12,D7A12,19279.25,16786729614,10.22
A2,I18,S12,7,20,2407,Bacteria,6834697,1366939,6.14,2,S12,A12,D7A12,D7A12,19279.25,26353554713,10.42
A2,J05,S12,7,20,2407,Bacteria,4082000,816400,5.91,3,S12,A12,D7A12,D7A12,19279.25,15739577310,10.2
A2,K05,S13,7,20,2408,Bacteria,2852224,570445,5.76,1,S13,A13,D7A13,D7A13,10372.73,5917074288,9.77
A2,K18,S13,7,20,2408,Bacteria,4927030,985406,5.99,2,S13,A13,D7A13,D7A13,10372.73,10221354392,10.01
A2,L05,S13,7,20,2408,Bacteria,6957834,1391567,6.14,3,S13,A13,D7A13,D7A13,10372.73,14434354436,10.16
A2,M05,S14,7,20,2411,Bacteria,3394824,678965,5.83,1,S14,A14,D7A14,D7A14,9515.01,6460359518,9.81
A2,M18,S14,7,20,2411,Bacteria,6619379,1323876,6.12,2,S14,A14,D7A14,D7A14,9515.01,12596694849,10.1
A2,N05,S14,7,20,2411,Bacteria,5597039,1119408,6.05,3,S14,A14,D7A14,D7A14,9515.01,10651179557,10.03
A2,O05,S15,7,20,2417,Bacteria,4990361,998072,6,1,S15,A15,D7A15,D7A15,7195.01,7181138210,9.86
A2,O18,S15,7,20,2417,Bacteria,9659177,1931835,6.29,2,S15,A15,D7A15,D7A15,7195.01,13899572510,10.14
A2,P05,S15,7,20,2417,Bacteria,8645168,1729034,6.24,3,S15,A15,D7A15,D7A15,7195.01,12440417248,10.09
A2,A06,S16,7,20,4254,Bacteria,5357075,1071415,6.03,1,S16,A16,D7A16,D7A16,25997.61,27854228963,10.44
A2,B06,S16,7,20,4254,Bacteria,5197706,1039541,6.02,2,S16,A16,D7A16,D7A16,25997.61,27025581152,10.43
A2,B18,S16,7,20,4254,Bacteria,5658012,1131602,6.05,3,S16,A16,D7A16,D7A16,25997.61,29418947096,10.47
A2,C06,S17,7,20,2665,Bacteria,3430609,686122,5.84,1,S17,A17,D7A17,D7A17,27411.11,18807363102,10.27
A2,D06,S17,7,20,2665,Bacteria,4358589,871718,5.94,2,S17,A17,D7A17,D7A17,27411.11,23894754794,10.38
A2,D18,S17,7,20,2665,Bacteria,3873453,774691,5.89,3,S17,A17,D7A17,D7A17,27411.11,21235137379,10.33
A2,E06,S18,7,20,6127,Bacteria,4723724,944745,5.98,1,S18,A18,D7A18,D7A18,12710.08,12007786500,10.08
A2,F06,S18,7,20,6127,Bacteria,3716797,743359,5.87,2,S18,A18,D7A18,D7A18,12710.08,9448153909,9.98
A2,F18,S18,7,20,6127,Bacteria,7416007,1483201,6.17,3,S18,A18,D7A18,D7A18,12710.08,18851606459,10.28
A2,G06,S19,7,20,6135,Bacteria,6414071,1282814,6.11,1,S19,A19,D7A19,D7A19,13911.15,17845412635,10.25
A2,H06,S19,7,20,6135,Bacteria,7611995,1522399,6.18,2,S19,A19,D7A19,D7A19,13911.15,21178314510,10.33
A2,H18,S19,7,20,6135,Bacteria,,,6.15,3,S19,A19,D7A19,D7A19,13911.15,19511863573,10.29
A1,K05,S2,7,20,4779,Bacteria,3454881,690976,5.84,1,S2,A2,D7A2,D7A2,23512.79,16246776996,10.21
A1,K06,S2,7,20,4779,Bacteria,4074416,814883,5.91,2,S2,A2,D7A2,D7A2,23512.79,19160176878,10.28
A1,L05,S2,7,20,4779,Bacteria,3312818,662564,5.82,3,S2,A2,D7A2,D7A2,23512.79,15578731466,10.19
A1,L06,S2,7,20,4779,Bacteria,3613795,722759,5.86,4,S2,A2,D7A2,D7A2,23512.79,16994084157,10.23
A2,I06,S20,7,20,6177,Bacteria,6167602,1233520,6.09,1,S20,A20,D7A20,D7A20,17359.95,21413843792,10.33
A2,J06,S20,7,20,6177,Bacteria,7333824,1466765,6.17,2,S20,A20,D7A20,D7A20,17359.95,25462965002,10.41
