Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,Sample,SampleID2,DNA_ng_per_gsoilDM_serial,A_no_gc_per_g_soil,A_no_gc_per_g_soil_log10
A2,B03,S7,3,20,124,Archaea,56668,11334,4.05,3,A7,D,D3A7,5340.76,60532176,7.78
A2,C03,S8,3,20,353,Archaea,164648,32930,4.52,1,A8,D,D3A8,6930.84,228232710,8.36
A2,C17,S8,3,20,353,Archaea,174816,34963,4.54,2,A8,D,D3A8,6930.84,242323116,8.38
A2,D03,S8,3,20,353,Archaea,132535,26507,4.42,3,A8,D,D3A8,6930.84,183715895,8.26
A2,E03,S9,3,20,6023,Archaea,15892,3178,3.5,1,A9,D,D3A9,12711.14,40396012,7.61
A2,E17,S9,3,20,6023,Archaea,19501,3900,3.59,2,A9,D,D3A9,12711.14,49573458,7.7
A2,F03,S9,3,20,6023,Archaea,29762,5952,3.77,3,A9,D,D3A9,12711.14,75656723,7.88
A1,I15,S1,60,20,3865,Archaea,95879,19176,4.28,1,A1,D,D60A1,23264.04,446111147,8.65
A1,I16,S1,60,20,3865,Archaea,104252,20850,4.32,2,A1,D,D60A1,23264.04,485055143,8.69
A1,J15,S1,60,20,3865,Archaea,96754,19351,4.29,3,A1,D,D60A1,23264.04,450182353,8.65
A1,J16,S1,60,20,3865,Archaea,93291,18658,4.27,4,A1,D,D60A1,23264.04,434060376,8.64
A2,M12,S10,60,20,1881,Archaea,9056,1811,3.26,1,A10,D,D60A10,16966.13,30725670,7.49
A2,N12,S10,60,20,1881,Archaea,11024,2205,3.34,2,A10,D,D60A10,16966.13,37410327,7.57
A2,N21,S10,60,20,1881,Archaea,10949,2190,3.34,3,A10,D,D60A10,16966.13,37155835,7.57
A2,O12,S11,60,20,2259,Archaea,9758,1952,3.29,1,A11,D,D60A11,21913.37,42774895,7.63
A2,P12,S11,60,20,2259,Archaea,13369,2674,3.43,2,A11,D,D60A11,21913.37,58596348,7.77
A2,P21,S11,60,20,2259,Archaea,32645,6529,3.81,3,A11,D,D60A11,21913.37,143072383,8.16
A2,A13,S12,60,20,2407,Archaea,7261,1452,3.16,1,A12,D,D60A12,26724.82,38804445,7.59
A2,A22,S12,60,20,2407,Archaea,9953,1991,3.3,2,A12,D,D60A12,26724.82,53209125,7.73
A2,B13,S12,60,20,2407,Archaea,6853,1371,3.14,3,A12,D,D60A12,26724.82,36639734,7.56
A2,C13,S13,60,20,2408,Archaea,24508,4902,3.69,1,A13,D,D60A13,10445.2,51202387,7.71
A2,C22,S13,60,20,2408,Archaea,33580,6716,3.83,2,A13,D,D60A13,10445.2,70149986,7.85
A2,D13,S13,60,20,2408,Archaea,18322,3664,3.56,3,A13,D,D60A13,10445.2,38271225,7.58
A2,E13,S14,60,20,2411,Archaea,8278,1656,3.22,1,A14,D,D60A14,8207.6,13591787,7.13
A2,E22,S14,60,20,2411,Archaea,16909,3382,3.53,2,A14,D,D60A14,8207.6,27758106,7.44
A2,F13,S14,60,20,2411,Archaea,6851,1370,3.14,3,A14,D,D60A14,8207.6,11244413,7.05
A2,G13,S15,60,20,2417,Archaea,31118,6224,3.79,1,A15,D,D60A15,8095.22,50384641,7.7
A2,G22,S15,60,20,2417,Archaea,117245,23449,4.37,2,A15,D,D60A15,8095.22,189824781,8.28
A2,H13,S15,60,20,2417,Archaea,18930,3786,3.58,3,A15,D,D60A15,8095.22,30648498,7.49
A2,I13,S16,60,20,4254,Archaea,131107,26221,4.42,1,A16,D,D60A16,18249.05,478508402,8.68
A2,I22,S16,60,20,4254,Archaea,61597,12319,4.09,2,A16,D,D60A16,18249.05,224810076,8.35
A2,J13,S16,60,20,4254,Archaea,64353,12871,4.11,3,A16,D,D60A16,18249.05,234883553,8.37
A2,K13,S17,60,20,2665,Archaea,61575,12315,4.09,1,A17,D,D60A17,21540.13,265266735,8.42
A2,K22,S17,60,20,2665,Archaea,93618,18724,4.27,2,A17,D,D60A17,21540.13,403317445,8.61
A2,L13,S17,60,20,2665,Archaea,72835,14567,4.16,3,A17,D,D60A17,21540.13,313775114,8.5
A2,M13,S18,60,20,6127,Archaea,15342,3068,3.49,1,A18,D,D60A18,12370.42,37952463,7.58
A2,M22,S18,60,20,6127,Archaea,9273,1855,3.27,2,A18,D,D60A18,12370.42,22947138,7.36
A2,N13,S18,60,20,6127,Archaea,17192,3438,3.54,3,A18,D,D60A18,12370.42,42529520,7.63
A2,O13,S19,60,20,6135,Archaea,19961,3992,3.6,1,A19,D,D60A19,13082.13,52223853,7.72
A2,O22,S19,60,20,6135,Archaea,66789,13358,4.13,2,A19,D,D60A19,13082.13,174751059,8.24
A2,P13,S19,60,20,6135,Archaea,27629,5526,3.74,3,A19,D,D60A19,13082.13,72291836,7.86
A1,K15,S2,60,20,4779,Archaea,39732,7946,3.9,1,A2,D,D60A2,16230.79,128969862,8.11
A1,K16,S2,60,20,4779,Archaea,43074,8615,3.94,2,A2,D,D60A2,16230.79,139828261,8.15
A1,L15,S2,60,20,4779,Archaea,45554,9111,3.96,3,A2,D,D60A2,16230.79,147878733,8.17
A1,L16,S2,60,20,4779,Archaea,41612,8322,3.92,4,A2,D,D60A2,16230.79,135072640,8.13
A2,A14,S20,60,20,6177,Archaea,31973,6395,3.81,1,A20,D,D60A20,17105.48,109389530,8.04
A2,B14,S20,60,20,6177,Archaea,28511,5702,3.76,2,A20,D,D60A20,17105.48,97535434,7.99
A2,B22,S20,60,20,6177,Archaea,40311,8062,3.91,3,A20,D,D60A20,17105.48,137904361,8.14
A1,M15,S3,60,20,2318,Archaea,9148,1830,3.26,1,A3,D,D60A3,19031.17,34827038,7.54
A1,M16,S3,60,20,2318,Archaea,9186,1837,3.26,2,A3,D,D60A3,19031.17,34960256,7.54
A1,N15,S3,60,20,2318,Archaea,10626,2125,3.33,3,A3,D,D60A3,19031.17,40441232,7.61
A1,N16,S3,60,20,2318,Archaea,9091,1818,3.26,4,A3,D,D60A3,19031.17,34598664,7.54
A1,O15,S4,60,20,3919,Archaea,63050,12610,4.1,1,A4,D,D60A4,29144.57,367513079,8.57
A1,O16,S4,60,20,3919,Archaea,52434,10487,4.02,2,A4,D,D60A4,29144.57,305639148,8.49
A1,P15,S4,60,20,3919,Archaea,74770,14954,4.17,3,A4,D,D60A4,29144.57,435827960,8.64
A1,P16,S4,60,20,3919,Archaea,79380,15876,4.2,4,A4,D,D60A4,29144.57,462699258,8.67
A1,A17,S5,60,20,2512,Archaea,28194,5639,3.75,1,A5,D,D60A5,20615.28,116249568,8.07
